,Unique_Id,DistrictName,NeighborhoodName,Month,Day,Hour,Mild injuries,Serious injuries,Victims,Vehicles involved
0,0,Ciutat Vella,el Raval,January,1,11,1,0,1,1
1,1,Ciutat Vella,el Barri Gòtic,January,2,19,1,0,1,4
2,2,Ciutat Vella,el Barri Gòtic,January,3,11,1,0,1,1
3,3,Ciutat Vella,el Raval,January,4,10,0,0,0,1
4,4,Ciutat Vella,la Barceloneta,January,6,23,1,0,1,2
5,5,Ciutat Vella,la Barceloneta,January,7,14,1,0,1,2
6,6,Ciutat Vella,el Raval,January,9,12,0,0,0,1
7,7,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",January,10,8,1,0,1,2
8,8,Ciutat Vella,el Barri Gòtic,January,10,14,2,0,2,2
9,9,Ciutat Vella,el Barri Gòtic,January,10,16,1,0,1,2
10,10,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",January,12,18,0,0,0,1
11,11,Ciutat Vella,el Raval,January,13,17,1,0,1,3
12,12,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",January,13,21,2,0,2,2
13,13,Ciutat Vella,el Barri Gòtic,January,13,17,0,0,0,1
14,14,Ciutat Vella,el Raval,January,13,14,1,0,1,2
15,15,Ciutat Vella,la Barceloneta,January,14,14,1,0,1,2
16,16,Ciutat Vella,el Barri Gòtic,January,14,14,2,0,2,1
17,17,Ciutat Vella,el Raval,January,15,17,0,0,0,1
18,18,Ciutat Vella,la Barceloneta,January,16,7,1,0,1,2
19,19,Ciutat Vella,el Barri Gòtic,January,16,15,1,0,1,2
20,20,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",January,17,16,1,0,1,1
21,21,Ciutat Vella,el Raval,January,17,16,1,0,1,2
22,22,Ciutat Vella,el Barri Gòtic,January,17,17,1,0,1,1
23,23,Ciutat Vella,la Barceloneta,January,19,12,1,0,1,2
24,24,Ciutat Vella,el Barri Gòtic,January,21,19,1,0,1,2
25,25,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",January,22,22,0,0,0,1
